Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Team
Clear,Jax,TOP,17,1,4,4,1.3,273,22.0,,7.6,12122,337,19.5%,38.0,19.0,4.0,7.0,5,1.06,0.53,0.19,0.11,11.9%,17269,8107,9162,0,480,21.8%,0.14,45.5%,1.0,0.0,0.0,0.0,0.0,-651.0,-24.0,-744.0,-1.0,0,4328.0,4328,4867.0,0,27290.0,0,13.0,120,31236.0,149,10,27,400,0,LSB
Willer,Wukong,JUNGLE,15,3,4,3,1.5,196,183.0,,5.4,11936,332,19.2%,54.0,21.0,8.0,20.0,19,1.5,0.58,0.56,0.22,17%,10083,8645,895,543,280,12.7%,0.17,54.5%,,0.0,0.0,0.0,0.0,-228.0,-5.0,-361.0,0.0,0,0.0,0,11565.0,0,23496.0,0,15.0,166,28258.0,127,22,37,450,200,LSB
Clozer,Yone,MID,18,2,4,1,0.8,357,8.0,,9.9,13629,379,22%,31.0,11.0,4.0,10.0,8,0.86,0.31,0.28,0.11,9.7%,14308,9019,3686,1603,398,18%,0.08,27.3%,,0.0,0.0,0.0,0.0,-880.0,-15.0,-1059.0,-1.0,0,0.0,0,4309.0,0,31967.0,0,18.0,191,19933.0,142,11,29,150,150,LSB
Teddy,Kai'Sa,ADC,17,4,5,5,1.8,364,22.0,,10.1,16317,453,26.3%,58.0,28.0,12.0,3.0,3,1.61,0.78,0.08,0.33,18.2%,31251,10018,20248,985,868,39.4%,0.25,81.8%,,0.0,0.0,0.0,0.0,137.0,16.0,275.0,0.0,0,4684.0,4684,3612.0,1240,12480.0,0,5.0,99,15902.0,142,5,24,150,300,LSB
Kael,Rakan,SUPPORT,12,1,6,8,1.5,37,0.0,,1.0,8074,224,13%,137.0,72.0,14.0,24.0,22,3.81,2.0,0.67,0.39,43.1%,6423,859,4511,1053,178,8.1%,0.25,81.8%,,0.0,0.0,0.0,0.0,-326.0,-3.0,-832.0,-1.0,0,863.0,863,4130.0,1791,20825.0,1858,27.0,57,17270.0,189,26,45,0,0,LSB
Rascal,Renekton,TOP,17,5,0,8,Perfect KDA,262,19.0,,9.3,13964,497,22.8%,24.0,8.0,3.0,3.0,3,0.85,0.28,0.11,0.11,12.3%,22555,17304,5251,0,803,26.6%,0.46,52%,,2.0,0.0,0.0,0.0,1775.0,31.0,944.0,1.0,0,10799.0,10799,17416.0,0,30868.0,0,11.0,35,33132.0,0,4,23,0,0,DRX
Croco,Zac,JUNGLE,15,5,1,15,20,145,120.0,,5.2,11736,418,19.2%,38.0,9.0,9.0,7.0,7,1.35,0.32,0.25,0.32,19.5%,13276,404,12149,723,473,15.6%,0.71,80%,,0.0,0.0,0.0,0.0,95.0,-8.0,226.0,0.0,1,197.0,197,42132.0,2651,36313.0,0,45.0,443,30045.0,16,7,23,0,0,DRX
FATE,Tristana,MID,17,11,0,4,Perfect KDA,288,36.0,,10.3,15437,550,25.2%,30.0,13.0,8.0,7.0,7,1.07,0.46,0.25,0.28,15.4%,21798,19304,2428,66,776,25.7%,0.53,60%,,2.0,1.0,0.0,0.0,1405.0,10.0,-34.0,0.0,0,12511.0,12511,6714.0,0,14430.0,0,3.0,54,11937.0,0,8,28,0,0,DRX
Paduck,Xayah,ADC,15,4,1,12,16,265,21.0,,9.4,12685,452,20.7%,32.0,17.0,8.0,9.0,8,1.14,0.61,0.32,0.28,16.4%,22703,22610,0,93,808,26.7%,0.57,64%,,0.0,0.0,0.0,0.0,-181.0,-18.0,-252.0,0.0,0,4151.0,4151,3194.0,0,6642.0,0,21.0,55,10244.0,33,11,26,0,0,DRX
BeryL,Rell,SUPPORT,12,0,3,17,5.7,40,9.0,,1.4,7441,265,12.1%,71.0,30.0,8.0,8.0,8,2.53,1.07,0.28,0.28,36.4%,4543,427,3686,430,162,5.4%,0.61,68%,,0.0,0.0,0.0,0.0,52.0,3.0,-213.0,0.0,0,77.0,77,2013.0,0,21098.0,0,35.0,144,15163.0,37,10,25,0,0,DRX
