Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Team
Andil,Nautilus,SUPPORT,10,0,5,3,0.6,30,0.0,,1.1,5639,215,12.7%,65.0,37.0,3.0,12.0,10,2.48,1.41,0.46,0.11,35.5%,4375,647,3119,609,167,10.7%,0.11,42.9%,,0.0,0.0,0.0,0.0,-53.0,-6.0,-34.0,0.0,0,129.0,129,350.0,0,16964.0,0,41.0,236,12997.0,120,15,25,0,0,KDF
Kiin,Rumble,TOP,16,3,1,8,11,234,14.0,,8.9,11139,425,20.8%,21.0,10.0,2.0,3.0,3,0.8,0.38,0.11,0.08,10.8%,21711,504,21207,0,828,31.6%,0.42,55%,,0.0,0.0,0.0,0.0,-202.0,-6.0,51.0,0.0,0,2948.0,2948,7.0,0,12272.0,0,12.0,291,9338.0,48,5,22,0,200,KT
Cuzz,Poppy,JUNGLE,14,6,0,11,Perfect KDA,163,138.0,,6.2,10885,415,20.4%,42.0,8.0,11.0,5.0,5,1.6,0.31,0.19,0.42,21.5%,9907,7341,1575,991,378,14.4%,0.65,85%,,1.0,0.0,0.0,0.0,380.0,-6.0,391.0,0.0,1,1943.0,1943,7100.0,0,36142.0,0,29.0,1424,14400.0,0,6,20,0,0,KT
Bdd,Azir,MID,16,7,1,5,12,234,4.0,,8.9,12007,458,22.5%,34.0,15.0,9.0,6.0,6,1.3,0.57,0.23,0.34,17.4%,18262,217,18045,0,697,26.6%,0.46,60%,,1.0,0.0,0.0,0.0,1142.0,11.0,920.0,0.0,0,8878.0,8878,1831.0,0,8674.0,0,8.0,167,11719.0,37,8,23,0,300,KT
Aiming,Zeri,ADC,14,3,2,7,5,251,24.0,,9.6,11889,453,22.3%,28.0,10.0,11.0,2.0,2,1.07,0.38,0.08,0.42,14.4%,10372,5982,4103,287,396,15.1%,0.38,50%,,0.0,0.0,0.0,0.0,-571.0,-13.0,-398.0,0.0,0,7626.0,7626,1864.0,0,5385.0,0,6.0,126,11346.0,79,4,22,0,150,KT
Lehends,Maokai,SUPPORT,12,1,3,15,5.3,37,0.0,,1.4,7509,286,14.1%,70.0,33.0,2.0,7.0,6,2.67,1.26,0.27,0.08,35.9%,8518,509,8009,0,325,12.4%,0.61,80%,,0.0,0.0,0.0,0.0,53.0,6.0,34.0,0.0,0,123.0,123,4022.0,677,21431.0,0,44.0,199,15330.0,71,10,23,50,0,KT
DuDu,K'Sante,TOP,16,1,1,2,3,271,0.0,,9.0,11109,371,21.4%,17.0,5.0,5.0,1.0,1,0.57,0.17,0.03,0.17,6.7%,4904,4170,523,211,164,12.7%,0.1,50%,,0.0,0.0,0.0,0.0,1302.0,42.0,1997.0,2.0,0,1399.0,1399,746.0,0,16886.0,0,11.0,3331,11856.0,0,3,22,0,0,KDF
YoungJae,Kha'Zix,JUNGLE,14,2,3,3,1.7,198,180.0,,6.6,11081,370,21.3%,75.0,33.0,16.0,12.0,10,2.5,1.1,0.4,0.53,29.6%,7938,6996,237,705,265,20.6%,0.17,83.3%,1.0,0.0,0.0,0.0,0.0,1859.0,23.0,1333.0,1.0,0,586.0,586,12624.0,0,14140.0,0,8.0,229,23275.0,76,13,29,0,150,KDF
Bulldog,LeBlanc,MID,17,2,3,1,1,288,0.0,,9.6,12066,403,23.2%,36.0,11.0,7.0,10.0,9,1.2,0.37,0.33,0.23,14.2%,12720,2832,9848,40,424,33.1%,0.1,50%,,0.0,0.0,0.0,0.0,52.0,-9.0,-143.0,0.0,0,1099.0,1099,5530.0,0,11769.0,0,10.0,33,18050.0,43,10,30,0,50,KDF
Taeyoon,Xayah,ADC,14,1,6,2,0.5,262,8.0,,8.7,11774,393,22.6%,28.0,13.0,5.0,7.0,6,0.93,0.43,0.23,0.17,11.1%,10342,10195,76,71,345,26.9%,0.1,50%,,0.0,0.0,0.0,0.0,-2035.0,-50.0,-1026.0,-1.0,0,1784.0,1784,1591.0,0,7116.0,0,11.0,94,13649.0,128,12,30,400,150,KDF
Andil,Rakan,SUPPORT,9,0,3,2,0.7,37,0.0,,1.2,5994,200,11.5%,97.0,47.0,12.0,15.0,13,3.24,1.57,0.5,0.4,38.3%,2565,221,1969,375,86,6.7%,0.07,33.3%,,0.0,0.0,0.0,0.0,-736.0,17.0,-779.0,-1.0,0,0.0,0,2222.0,621,9955.0,677,16.0,58,10810.0,49,17,28,0,0,KDF
Kiin,Jax,TOP,17,1,3,4,1.7,271,40.0,,9.0,11503,384,18.9%,28.0,15.0,5.0,4.0,4,0.93,0.5,0.13,0.17,12.6%,8349,4125,4224,0,279,14.6%,0.17,31.3%,,0.0,0.0,0.0,0.0,-1302.0,-42.0,-1997.0,-2.0,0,3885.0,3885,1780.0,0,10530.0,0,10.0,221,15060.0,69,6,30,0,0,KT
Cuzz,Poppy,JUNGLE,14,0,1,12,12,135,112.0,,4.5,9178,306,15.1%,48.0,11.0,14.0,10.0,8,1.6,0.37,0.33,0.47,21.5%,5680,4097,1250,333,190,10%,0.4,75%,,0.0,0.0,0.0,0.0,-1859.0,-23.0,-1333.0,-1.0,0,194.0,194,11002.0,411,39740.0,0,14.0,600,21840.0,0,11,27,0,0,KT
Bdd,Neeko,MID,17,4,1,1,5,316,8.0,,10.5,13301,444,21.9%,26.0,6.0,4.0,3.0,3,0.87,0.2,0.1,0.13,11.7%,9844,810,9034,0,328,17.3%,0.17,31.3%,1.0,0.0,0.0,0.0,0.0,-52.0,9.0,143.0,0.0,0,7856.0,7856,1111.0,0,6950.0,0,20.0,223,11759.0,10,5,20,150,0,KT
Aiming,Zeri,ADC,16,11,1,2,13,358,14.0,,11.9,18196,607,30%,38.0,12.0,21.0,3.0,3,1.27,0.4,0.1,0.7,17%,27638,15180,11799,659,922,48.5%,0.43,81.3%,1.0,2.0,0.0,1.0,0.0,2035.0,50.0,1026.0,1.0,0,14397.0,14397,2281.0,0,12336.0,0,8.0,140,9612.0,30,5,24,200,400,KT
Lehends,Lulu,SUPPORT,13,0,0,13,Perfect KDA,25,0.0,,0.8,8555,285,14.1%,83.0,54.0,12.0,17.0,15,2.77,1.8,0.57,0.4,37.2%,5510,1010,4500,0,184,9.7%,0.43,81.3%,,0.0,0.0,0.0,0.0,736.0,-17.0,779.0,1.0,0,1777.0,1777,2453.0,136,5024.0,4841,25.0,246,7866.0,0,19,31,0,0,KT
Doran,Jax,TOP,18,2,2,4,3,387,22.0,,9.4,18578,451,22.9%,45.0,18.0,10.0,6.0,3,1.09,0.44,0.15,0.24,10.6%,14739,7014,7725,0,358,20%,0.15,50%,,0.0,0.0,0.0,0.0,967.0,9.0,803.0,1.0,0,16836.0,16836,5485.0,0,29111.0,0,7.0,187,29487.0,109,10,34,200,300,GEN
Peanut,Maokai,JUNGLE,17,1,0,9,Perfect KDA,218,194.0,,5.3,13185,320,16.3%,80.0,14.0,23.0,10.0,9,1.94,0.34,0.24,0.56,18.9%,20207,498,18641,1068,490,27.4%,0.24,83.3%,,0.0,0.0,0.0,0.0,443.0,-8.0,256.0,0.0,0,490.0,490,20478.0,2023,38865.0,0,63.0,762,27587.0,0,13,35,0,0,GEN
Chovy,Yone,MID,18,5,0,5,Perfect KDA,455,42.0,,11.0,19805,481,24.4%,61.0,7.0,25.0,5.0,5,1.48,0.17,0.12,0.61,14.4%,22469,14875,5501,2093,545,30.5%,0.24,83.3%,,0.0,0.0,1.0,0.0,325.0,5.0,-452.0,0.0,0,2477.0,2477,7897.0,0,34897.0,0,22.0,255,17453.0,0,7,26,0,0,GEN
Peyz,Samira,ADC,18,4,1,5,9,466,52.0,,11.3,19401,471,23.9%,66.0,15.0,28.0,4.0,4,1.6,0.36,0.1,0.68,15.6%,11294,9250,1921,123,274,15.3%,0.22,75%,,1.0,0.0,0.0,0.0,-191.0,-7.0,-290.0,-1.0,0,5748.0,5748,10331.0,0,14033.0,0,1.0,77,20416.0,0,6,24,0,700,GEN
Delight,Nautilus,SUPPORT,14,0,1,8,8,50,0.0,,1.2,10064,244,12.4%,171.0,82.0,27.0,25.0,23,4.15,1.99,0.61,0.66,40.4%,5000,627,3532,841,121,6.8%,0.19,66.7%,,0.0,0.0,0.0,0.0,66.0,0.0,-111.0,0.0,0,146.0,146,1460.0,0,23063.0,0,33.0,166,13465.0,0,28,45,0,0,GEN
Clear,Renekton,TOP,18,0,3,2,0.7,330,20.0,,8.0,13600,330,19.8%,35.0,16.0,5.0,12.0,11,0.85,0.39,0.29,0.12,8.7%,14621,13124,1497,0,355,21.9%,0.05,50%,,0.0,0.0,0.0,0.0,-967.0,-9.0,-803.0,-1.0,0,964.0,964,15108.0,0,30936.0,0,13.0,49,39437.0,89,13,33,0,0,LSB
Willer,Wukong,JUNGLE,16,1,3,2,1,207,181.0,,5.0,11989,291,17.5%,68.0,20.0,15.0,19.0,19,1.65,0.49,0.46,0.36,16.9%,5084,4245,579,260,123,7.6%,0.07,75%,,0.0,0.0,0.0,0.0,-443.0,8.0,-256.0,0.0,0,956.0,956,12739.0,0,24320.0,0,7.0,166,28969.0,76,21,38,50,0,LSB
Clozer,Azir,MID,18,2,1,2,4,458,24.0,,11.1,18332,445,26.7%,52.0,20.0,9.0,10.0,9,1.26,0.49,0.24,0.22,12.9%,27944,353,27541,50,678,41.9%,0.1,100%,,0.0,0.0,0.0,0.0,-325.0,-5.0,452.0,0.0,0,3246.0,3246,2220.0,0,12448.0,0,12.0,252,14677.0,0,14,32,250,200,LSB
Teddy,Varus,ADC,18,1,2,2,1.5,387,17.0,,9.4,16444,399,24%,96.0,53.0,22.0,15.0,14,2.33,1.29,0.36,0.53,23.8%,16329,14877,1378,74,396,24.5%,0.07,75%,,0.0,0.0,0.0,0.0,191.0,7.0,290.0,1.0,1,396.0,396,1850.0,0,6585.0,0,16.0,549,10127.0,54,17,41,700,0,LSB
Kael,Rell,SUPPORT,13,0,3,1,0.3,33,0.0,,0.8,8252,200,12%,152.0,92.0,12.0,29.0,29,3.69,2.23,0.7,0.29,37.7%,2793,293,1637,863,68,4.2%,0.02,25%,,0.0,0.0,0.0,0.0,-66.0,0.0,111.0,0.0,0,0.0,0,1234.0,0,15321.0,0,23.0,131,12130.0,57,31,47,0,0,LSB
Clear,Renekton,TOP,17,0,4,6,1.5,271,8.0,,8.1,11987,359,20.7%,39.0,11.0,9.0,7.0,7,1.17,0.33,0.21,0.27,13.9%,14558,12263,2295,0,436,19.1%,0.18,46.2%,,0.0,0.0,0.0,0.0,140.0,7.0,1054.0,1.0,0,2963.0,2963,12036.0,0,34973.0,0,14.0,39,36010.0,148,9,28,0,0,LSB
Willer,Maokai,JUNGLE,15,1,3,10,3.7,168,140.0,,5.0,10509,315,18.1%,56.0,19.0,11.0,17.0,17,1.68,0.57,0.51,0.33,19.9%,11850,365,11073,412,355,15.5%,0.33,84.6%,,0.0,0.0,0.0,0.0,-699.0,-22.0,-298.0,0.0,0,201.0,201,18684.0,1085,42908.0,0,47.0,543,34886.0,92,18,34,300,0,LSB
Clozer,Azir,MID,17,6,4,4,2.5,286,8.0,,8.6,13848,415,23.9%,26.0,14.0,3.0,7.0,7,0.78,0.42,0.21,0.09,9.3%,22079,280,21757,42,661,28.9%,0.3,76.9%,,2.0,0.0,0.0,0.0,1061.0,3.0,337.0,0.0,0,818.0,818,1739.0,0,16750.0,0,12.0,217,19117.0,155,11,25,50,700,LSB
Teddy,Lucian,ADC,15,6,5,6,2.4,281,16.0,,8.4,14030,420,24.2%,54.0,19.0,14.0,8.0,7,1.62,0.57,0.24,0.42,19.2%,23095,20987,2108,0,691,30.3%,0.36,92.3%,,0.0,0.0,0.0,0.0,-341.0,10.0,354.0,0.0,0,851.0,851,3744.0,0,10428.0,0,0.0,23,17406.0,151,11,30,500,350,LSB
Kael,Nautilus,SUPPORT,12,0,7,11,1.6,41,0.0,,1.2,7603,228,13.1%,106.0,56.0,11.0,18.0,16,3.17,1.68,0.54,0.33,37.7%,4696,716,3272,708,141,6.2%,0.33,84.6%,,0.0,0.0,0.0,0.0,-17.0,2.0,176.0,1.0,0,0.0,0,1071.0,0,22957.0,0,52.0,276,15955.0,165,20,42,0,0,LSB
Doran,Jax,TOP,18,4,2,5,4.5,299,19.0,,9.0,14066,421,20.3%,38.0,16.0,5.0,6.0,5,1.14,0.48,0.18,0.15,12.7%,15249,7835,7242,172,457,15.8%,0.27,39.1%,1.0,0.0,0.0,0.0,0.0,-140.0,-7.0,-1054.0,-1.0,0,4032.0,4032,7621.0,0,22481.0,0,9.0,164,26188.0,49,7,27,300,350,GEN
Peanut,Rell,JUNGLE,16,0,4,13,3.3,196,180.0,,5.9,11267,337,16.2%,51.0,12.0,12.0,10.0,10,1.53,0.36,0.3,0.36,17%,8313,822,7014,477,249,8.6%,0.39,56.5%,,0.0,0.0,0.0,0.0,699.0,22.0,298.0,0.0,1,661.0,661,7947.0,400,50255.0,0,25.0,346,22503.0,136,11,26,0,0,GEN
Chovy,Yone,MID,18,4,2,9,6.5,319,18.0,,9.6,14825,444,21.4%,32.0,6.0,10.0,2.0,2,0.96,0.18,0.06,0.3,10.7%,28396,19613,6084,2699,850,29.5%,0.39,56.5%,,0.0,0.0,0.0,0.0,-1061.0,-3.0,-337.0,0.0,0,5152.0,5152,6699.0,0,29417.0,0,25.0,188,18381.0,85,5,29,0,200,GEN
Peyz,Zeri,ADC,18,15,2,7,11,355,40.0,,10.6,20538,615,29.6%,58.0,15.0,24.0,6.0,6,1.74,0.45,0.18,0.72,19.3%,41084,24177,16345,562,1230,42.6%,0.66,95.7%,1.0,2.0,0.0,1.0,0.0,341.0,-10.0,-354.0,0.0,0,8998.0,8998,9719.0,0,15771.0,0,6.0,130,17608.0,46,8,30,750,300,GEN
Delight,Leona,SUPPORT,14,0,3,12,4,48,0.0,,1.4,8653,259,12.5%,121.0,58.0,16.0,17.0,17,3.62,1.74,0.51,0.48,40.3%,3333,934,1456,943,100,3.5%,0.36,52.2%,,0.0,0.0,0.0,0.0,17.0,-2.0,-176.0,-1.0,0,799.0,799,1495.0,0,18006.0,0,21.0,87,14988.0,74,20,34,0,0,GEN
Clear,Jax,TOP,16,2,1,12,14,216,16.0,,7.8,11852,430,20.2%,31.0,12.0,7.0,7.0,5,1.13,0.44,0.25,0.25,12.1%,14824,8024,6800,0,538,21.4%,0.51,60.9%,,0.0,0.0,0.0,0.0,791.0,16.0,810.0,1.0,0,4143.0,4143,5886.0,0,17852.0,0,16.0,99,20248.0,0,8,23,0,200,LSB
Willer,Nocturne,JUNGLE,15,4,1,16,20,179,152.0,,6.5,11681,424,19.9%,63.0,25.0,11.0,11.0,11,2.29,0.91,0.4,0.4,24.5%,12264,10781,968,515,445,17.7%,0.73,87%,,0.0,0.0,0.0,0.0,935.0,27.0,1080.0,1.0,0,993.0,993,17779.0,0,26819.0,0,115.0,527,27238.0,27,12,25,0,0,LSB
Clozer,Ahri,MID,17,3,0,15,Perfect KDA,269,4.0,,9.8,12584,457,21.4%,38.0,18.0,5.0,10.0,9,1.38,0.65,0.36,0.18,14.8%,16086,1325,11233,3528,584,23.2%,0.65,78.3%,,1.0,0.0,0.0,0.0,-51.0,-1.0,213.0,0.0,0,5452.0,5452,8767.0,0,10987.0,0,24.0,107,19796.0,0,12,32,0,0,LSB
Teddy,Kai'Sa,ADC,15,14,2,5,9.5,269,7.0,,9.8,15083,548,25.7%,36.0,13.0,9.0,5.0,5,1.31,0.47,0.18,0.33,14%,23171,9784,13290,97,842,33.5%,0.69,82.6%,,3.0,2.0,0.0,0.0,335.0,-3.0,73.0,0.0,0,3049.0,3049,1664.0,0,8177.0,0,0.0,15,10776.0,81,5,26,0,650,LSB
Kael,Rell,SUPPORT,11,0,1,14,14,32,0.0,,1.2,7577,275,12.9%,89.0,46.0,10.0,15.0,15,3.23,1.67,0.54,0.36,34.6%,2903,743,1818,342,105,4.2%,0.51,60.9%,,0.0,0.0,0.0,0.0,-100.0,-7.0,-312.0,0.0,0,635.0,635,2345.0,0,17948.0,0,22.0,71,11690.0,16,17,31,0,0,LSB
Rascal,Rumble,TOP,14,3,7,1,0.6,183,12.0,,6.6,9696,352,22.7%,30.0,14.0,1.0,5.0,5,1.09,0.51,0.18,0.04,13.9%,20792,427,20365,0,755,38.9%,0.15,80%,1.0,0.0,0.0,0.0,0.0,-791.0,-16.0,-810.0,-1.0,0,0.0,0,1725.0,0,21684.0,0,15.0,306,22949.0,208,7,21,650,0,DRX
Croco,Maokai,JUNGLE,12,0,4,3,0.8,128,113.0,,4.6,7355,267,17.2%,38.0,12.0,10.0,11.0,10,1.38,0.44,0.4,0.36,17.6%,8375,323,7565,487,304,15.7%,0.11,60%,,0.0,0.0,0.0,0.0,-935.0,-27.0,-1080.0,-1.0,0,0.0,0,14065.0,865,26929.0,0,33.0,405,26844.0,130,12,26,0,0,DRX
FATE,Jayce,MID,15,2,4,2,1,246,8.0,,8.9,9922,360,23.2%,28.0,10.0,8.0,5.0,4,1.02,0.36,0.18,0.29,13%,13671,11971,1700,0,497,25.6%,0.15,80%,,0.0,0.0,0.0,0.0,51.0,1.0,-213.0,0.0,0,755.0,755,940.0,0,13104.0,0,4.0,97,13829.0,120,6,21,200,0,DRX
Paduck,Aphelios,ADC,13,0,5,2,0.4,265,14.0,,9.6,9881,359,23.1%,28.0,11.0,9.0,4.0,4,1.02,0.4,0.15,0.33,13%,5577,5403,120,54,203,10.4%,0.07,40%,,0.0,0.0,0.0,0.0,-335.0,3.0,-73.0,0.0,0,560.0,560,1502.0,0,12716.0,0,2.0,105,10803.0,181,5,17,0,0,DRX
BeryL,Braum,SUPPORT,11,0,3,3,1,43,0.0,,1.6,5908,215,13.8%,92.0,45.0,16.0,16.0,12,3.34,1.63,0.58,0.58,42.6%,5071,361,4710,0,184,9.5%,0.11,60%,,0.0,0.0,0.0,0.0,100.0,7.0,312.0,0.0,0,60.0,60,1140.0,351,16616.0,1531,26.0,141,12682.0,94,20,33,0,0,DRX
Rascal,Gragas,TOP,15,0,4,0,0,231,0.0,,7.9,9324,318,19.7%,33.0,12.0,5.0,5.0,5,1.12,0.41,0.17,0.17,12.4%,12112,527,11585,0,413,26.8%,0.0,0%,,0.0,0.0,0.0,0.0,192.0,13.0,-224.0,0.0,0,557.0,557,6350.0,0,13731.0,0,33.0,386,18938.0,105,7,21,0,0,DRX
Juhan,Kha'Zix,JUNGLE,13,1,2,0,0.5,167,131.0,,5.7,9416,321,19.9%,78.0,33.0,20.0,9.0,7,2.66,1.12,0.31,0.68,29.3%,6375,5624,142,609,217,14.1%,0.03,50%,,0.0,0.0,0.0,0.0,340.0,-1.0,354.0,0.0,0,0.0,0,11804.0,0,14202.0,0,4.0,191,21915.0,50,10,26,150,0,DRX
FATE,Azir,MID,16,0,2,2,1,275,0.0,,9.4,10596,361,22.4%,27.0,15.0,2.0,8.0,7,0.92,0.51,0.27,0.07,10.2%,13987,529,13458,0,477,31%,0.07,100%,,0.0,0.0,0.0,0.0,-578.0,3.0,336.0,0.0,0,222.0,222,1649.0,0,9453.0,0,6.0,153,14806.0,38,12,28,0,0,DRX
Paduck,Xayah,ADC,14,1,3,0,0.3,321,20.0,,10.9,11826,403,25%,31.0,12.0,10.0,4.0,4,1.06,0.41,0.14,0.34,11.7%,8917,8917,0,0,304,19.7%,0.03,50%,,0.0,0.0,0.0,0.0,366.0,16.0,122.0,0.0,0,672.0,672,2492.0,0,6829.0,0,5.0,87,12877.0,79,5,21,0,100,DRX
BeryL,Rakan,SUPPORT,12,0,3,1,0.3,51,0.0,,1.7,6133,209,13%,97.0,44.0,27.0,15.0,13,3.3,1.5,0.51,0.92,36.5%,3786,502,2828,456,129,8.4%,0.03,50%,,0.0,0.0,0.0,0.0,-256.0,3.0,281.0,0.0,0,800.0,800,5861.0,2549,18245.0,1869,10.0,25,12566.0,37,17,27,0,0,DRX
Clear,Jax,TOP,17,2,1,5,7,257,12.0,,8.8,12404,423,20.3%,34.0,15.0,13.0,7.0,5,1.16,0.51,0.24,0.44,11.5%,12302,5372,6930,0,419,21.2%,0.24,50%,,1.0,0.0,0.0,0.0,-192.0,-13.0,224.0,0.0,0,5327.0,5327,4282.0,0,14936.0,0,12.0,151,17722.0,44,8,30,0,0,LSB
Willer,Wukong,JUNGLE,16,2,0,5,Perfect KDA,193,170.0,,6.6,11112,379,18.2%,57.0,16.0,12.0,14.0,14,1.94,0.55,0.48,0.41,19.3%,6048,5403,510,135,206,10.4%,0.24,50%,,0.0,0.0,0.0,0.0,-340.0,1.0,-354.0,0.0,0,5821.0,5821,12488.0,0,17154.0,0,7.0,187,20411.0,0,15,31,100,0,LSB
Clozer,Yone,MID,18,4,1,4,8,311,15.0,,10.6,14404,491,23.6%,32.0,8.0,12.0,8.0,6,1.09,0.27,0.27,0.41,10.8%,15019,8893,3322,2804,512,25.8%,0.27,57.1%,1.0,0.0,0.0,0.0,0.0,578.0,-3.0,-336.0,0.0,0,3970.0,3970,7659.0,0,25591.0,0,15.0,158,19184.0,30,9,25,0,150,LSB
Teddy,Kai'Sa,ADC,17,4,0,6,Perfect KDA,345,16.0,,11.8,14918,508,24.4%,74.0,32.0,17.0,4.0,4,2.52,1.09,0.14,0.58,25.1%,18151,5040,13011,100,618,31.2%,0.34,71.4%,1.0,1.0,0.0,0.0,0.0,-366.0,-16.0,-122.0,0.0,0,7788.0,7788,2099.0,0,6540.0,0,0.0,24,7665.0,0,5,30,0,0,LSB
Kael,Maokai,SUPPORT,13,2,0,6,Perfect KDA,54,0.0,,1.8,8236,281,13.5%,98.0,51.0,21.0,16.0,16,3.34,1.74,0.55,0.72,33.2%,6611,492,5557,562,225,11.4%,0.27,57.1%,,0.0,0.0,0.0,0.0,256.0,-3.0,-281.0,0.0,0,144.0,144,3552.0,278,10160.0,0,42.0,228,10061.0,0,19,32,0,0,LSB
Zeus,Jax,TOP,18,4,3,0,1.3,329,36.0,,8.0,15629,379,21.6%,46.0,20.0,6.0,7.0,5,1.12,0.48,0.17,0.15,12%,12352,5003,7349,0,299,14.5%,0.1,57.1%,,0.0,1.0,0.0,0.0,-268.0,-7.0,-97.0,0.0,0,2890.0,2890,6980.0,0,35542.0,0,11.0,140,33924.0,113,10,30,0,450,T1
Oner,Sejuani,JUNGLE,16,0,3,6,2,199,165.0,,4.8,12965,314,17.9%,86.0,18.0,21.0,16.0,16,2.08,0.44,0.39,0.51,22.5%,6881,2657,3576,648,167,8.1%,0.15,85.7%,,0.0,0.0,0.0,0.0,668.0,-4.0,351.0,0.0,0,353.0,353,20597.0,5034,64775.0,0,23.0,413,40792.0,103,18,36,0,0,T1
Poby,LeBlanc,MID,18,2,4,5,1.8,375,4.0,,9.1,16908,410,23.4%,47.0,13.0,14.0,10.0,10,1.14,0.32,0.24,0.34,12.3%,36953,6503,30350,100,896,43.2%,0.17,100%,,0.0,0.0,0.0,0.0,382.0,1.0,259.0,0.0,0,8482.0,8482,10149.0,0,20379.0,0,9.0,37,34993.0,175,11,33,0,250,T1
Gumayusi,Jinx,ADC,18,1,1,4,5,455,54.0,,11.0,18301,444,25.3%,69.0,20.0,23.0,10.0,10,1.67,0.48,0.24,0.56,18.1%,24784,24390,278,116,601,29%,0.12,71.4%,,0.0,0.0,0.0,0.0,143.0,0.0,-592.0,0.0,0,4428.0,4428,7927.0,0,8759.0,0,10.0,168,16788.0,0,13,40,0,700,T1
Keria,Thresh,SUPPORT,14,0,0,6,Perfect KDA,36,0.0,,0.9,8502,206,11.8%,134.0,71.0,14.0,22.0,22,3.25,1.72,0.53,0.34,35.1%,4485,294,3369,822,109,5.2%,0.15,85.7%,,0.0,0.0,0.0,0.0,-333.0,-1.0,197.0,0.0,0,0.0,0,2997.0,364,7622.0,1513,30.0,154,14616.0,0,24,38,0,0,T1
Morgan,Gragas,TOP,18,0,3,10,3.3,321,23.0,,7.8,15046,365,19.7%,52.0,16.0,9.0,12.0,11,1.26,0.39,0.29,0.22,13.5%,26540,1090,25162,288,643,23.7%,0.24,90.9%,,0.0,0.0,0.0,0.0,268.0,7.0,97.0,0.0,0,1078.0,1078,14414.0,0,33145.0,0,43.0,547,33560.0,138,15,34,0,0,BRION
UmTi,Skarner,JUNGLE,17,0,0,7,Perfect KDA,206,178.0,,5.0,12466,302,16.3%,84.0,19.0,22.0,17.0,17,2.04,0.46,0.41,0.53,21.8%,4112,1693,1918,501,100,3.7%,0.17,63.6%,,0.0,0.0,0.0,0.0,-668.0,4.0,-351.0,0.0,0,271.0,271,18673.0,3990,72198.0,0,23.0,751,23625.0,0,19,38,0,0,BRION
Karis,Azir,MID,18,7,1,4,11,385,8.0,,9.3,19689,477,25.8%,30.0,9.0,7.0,6.0,6,0.73,0.22,0.15,0.17,7.8%,38390,887,36033,1470,931,34.3%,0.27,100%,1.0,2.0,0.0,0.0,0.0,-382.0,-1.0,-259.0,0.0,0,6318.0,6318,3363.0,0,17731.0,0,14.0,269,21485.0,48,10,31,1350,0,BRION
Hena,Aphelios,ADC,18,3,0,5,Perfect KDA,418,47.0,,10.1,18718,454,24.5%,57.0,18.0,19.0,5.0,5,1.38,0.44,0.12,0.46,14.8%,40026,38329,899,798,970,35.7%,0.19,72.7%,,0.0,0.0,0.0,0.0,-143.0,0.0,592.0,0.0,0,14263.0,14263,7087.0,0,21564.0,0,11.0,245,10560.0,0,8,26,0,0,BRION
Effort,Rakan,SUPPORT,16,1,3,9,3.3,45,0.0,,1.1,10399,252,13.6%,162.0,79.0,19.0,22.0,22,3.93,1.92,0.53,0.46,42.1%,2936,397,2539,0,71,2.6%,0.24,90.9%,,0.0,0.0,0.0,0.0,333.0,1.0,-197.0,0.0,0,1093.0,1093,13814.0,7112,31083.0,3494,19.0,53,22081.0,137,24,38,50,0,BRION
Zeus,Ornn,TOP,16,0,0,13,Perfect KDA,242,4.0,,7.7,11213,355,17.7%,28.0,10.0,3.0,6.0,5,0.89,0.32,0.19,0.09,8.9%,19123,6548,12575,0,605,24.7%,0.41,86.7%,,0.0,0.0,0.0,0.0,-417.0,5.0,161.0,0.0,0,2745.0,2745,5926.0,2023,35710.0,0,40.0,447,21281.0,0,7,30,0,0,T1
Oner,Vi,JUNGLE,15,2,2,11,6.5,192,167.0,,6.1,11798,373,18.6%,71.0,14.0,18.0,12.0,12,2.25,0.44,0.38,0.57,22.5%,7764,7239,362,163,246,10%,0.41,86.7%,,0.0,0.0,0.0,0.0,206.0,11.0,480.0,0.0,0,4005.0,4005,9675.0,0,26740.0,0,20.0,321,21642.0,30,13,30,150,0,T1
Poby,LeBlanc,MID,18,7,1,2,9,337,0.0,,10.7,16623,526,26.2%,34.0,10.0,6.0,8.0,8,1.08,0.32,0.25,0.19,10.8%,24475,5471,19004,0,774,31.6%,0.28,60%,,1.0,1.0,0.0,0.0,1057.0,10.0,708.0,0.0,0,8872.0,8872,6364.0,0,10430.0,0,14.0,33,16241.0,52,8,29,50,700,T1
