Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Kael,Nautilus,SUPPORT,10,2,3,0,0.7,28,0,,1,6070,216,13.7%,78,49,10,17,15,2.78,1.74,0.61,0.36,36.4%,3565,972,1885,708,127,6.8%,0.07,100%,,0,0,0,0,246,-10,-867,-1,0,123,123,633,0,15762,0,32,176,10977,49,19,30,0,150
Burdol,Gnar,TOP,15,3,1,7,10,221,9,,9.5,10441,447,22.1%,21,8,5,4,4,0.9,0.34,0.17,0.21,10.8%,13129,10238,2891,0,563,23.2%,0.43,66.7%,1,1,0,0,0,830,16,647,0,0,2380,2380,4232,0,10610,0,17,314,13947,35,5,18,0,250
Willer,Wukong,JUNGLE,13,6,0,5,Perfect KDA,144,122,,6.2,9705,416,20.5%,39,12,10,10,10,1.67,0.51,0.43,0.43,20%,7344,6553,698,93,315,13%,0.47,73.3%,,2,0,0,0,189,1,97,0,0,2949,2949,1008,0,12250,0,7,117,14943,0,11,24,0,0
Clozer,Azir,MID,14,1,2,8,4.5,198,0,,8.5,9413,403,19.9%,30,14,9,6,6,1.29,0.6,0.26,0.39,15.4%,15495,548,14947,0,664,27.4%,0.39,60%,1,0,0,0,0,327,30,1341,1,0,5199,5199,110,0,7888,0,11,213,12601,45,6,18,0,0
Envyy,Lucian,ADC,13,2,0,4,Perfect KDA,219,8,,9.4,10024,430,21.2%,28,11,7,5,5,1.2,0.47,0.21,0.3,14.4%,13990,10490,2116,1384,600,24.7%,0.26,40%,,1,0,0,0,1146,40,705,1,0,5580,5580,114,0,3545,0,0,15,6442,0,11,22,0,0
Kael,Sona,SUPPORT,11,3,0,9,Perfect KDA,10,0,,0.4,7651,328,16.2%,77,39,9,10,10,3.3,1.67,0.43,0.39,39.5%,6617,1199,5334,84,284,11.7%,0.51,80%,,0,0,0,0,1414,2,514,0,0,2195,2195,7609,5376,2541,3235,7,15,4527,0,12,24,0,0
Rascal,K,TOP,13,1,4,0,0.3,174,0,,7.5,7442,319,22.3%,18,7,3,3,3,0.77,0.3,0.13,0.13,11.7%,4776,3878,855,43,205,15.7%,0.04,33.3%,1,0,0,0,0,-830,-16,-647,0,0,0,0,546,0,21740,195,14,326,18890,107,4,18,250,0
Croco,Vi,JUNGLE,11,1,6,1,0.3,131,112,,5.6,7022,301,21%,31,6,9,5,5,1.33,0.26,0.21,0.39,20.1%,4606,4060,175,371,197,15.1%,0.09,66.7%,,0,0,0,0,-189,-1,-97,0,0,0,0,55,0,21651,0,14,305,18908,97,6,19,0,0
FATE,LeBlanc,MID,13,1,1,1,2,159,0,,6.8,7232,310,21.7%,31,15,7,5,4,1.33,0.64,0.21,0.3,20.1%,13278,1327,11951,0,569,43.6%,0.09,66.7%,,0,0,0,0,-327,-30,-1341,-1,0,235,235,1412,0,6747,0,14,41,13847,27,5,17,0,0
deokdam,Zeri,ADC,11,0,2,0,0,182,4,,7.8,7139,306,21.4%,25,11,6,5,4,1.07,0.47,0.21,0.26,16.2%,5017,3147,1870,0,215,16.5%,0,0%,,0,0,0,0,-1146,-40,-705,-1,0,397,397,346,0,8165,0,1,33,13166,74,8,21,0,0
BeryL,Nami,SUPPORT,9,0,2,0,0,11,0,,0.5,4551,195,13.6%,49,25,8,8,6,2.1,1.07,0.34,0.34,31.8%,2768,525,2243,0,119,9.1%,0,0%,,0,0,0,0,-1414,-2,-514,0,0,0,0,6678,5197,3262,826,12,119,7023,48,10,22,0,0
Morgan,K,TOP,15,0,0,0,Perfect KDA,243,1,,7.4,9909,302,20%,42,12,11,9,8,1.28,0.37,0.27,0.34,16.2%,7587,6182,1071,334,231,14.2%,0,0%,,0,0,0,0,282,8,-291,0,0,1369,1369,4172,0,36779,215,24,542,20903,0,10,25,0,0
UmTi,Wukong,JUNGLE,14,1,2,0,0.5,206,170,,6.3,10148,309,20.4%,71,16,23,13,13,2.16,0.49,0.4,0.7,27.3%,5243,4382,607,254,160,9.8%,0.03,100%,,0,0,0,0,-348,2,236,0,0,1000,1000,3669,0,27966,0,7,122,32589,40,14,30,100,0
Karis,Viktor,MID,16,0,3,1,0.3,294,0,,9,11108,339,22.4%,17,13,3,8,8,0.52,0.4,0.24,0.09,6.5%,16864,129,16735,0,514,31.6%,0.03,100%,,0,0,0,0,-10,2,549,1,0,2394,2394,8,0,15224,0,8,275,14506,84,8,24,0,50
Hena,Lucian,ADC,15,0,3,1,0.3,297,5,,9.1,12027,367,24.2%,22,12,7,5,4,0.67,0.37,0.15,0.21,8.5%,17946,11121,5992,833,547,33.7%,0.03,100%,,0,0,0,0,-708,-21,-300,0,0,995,995,320,0,9577,0,1,19,16808,58,8,31,0,100
Effort,Nami,SUPPORT,12,0,0,1,Perfect KDA,22,4,,0.7,6455,197,13%,108,61,12,18,16,3.29,1.86,0.55,0.37,41.5%,5664,1065,4599,0,173,10.6%,0.03,100%,,0,0,0,0,-186,-4,-141,0,0,153,153,14137,11477,4346,2492,24,186,7992,0,20,34,0,0
kingen,Sion,TOP,16,0,0,4,Perfect KDA,211,6,,6.4,10382,317,17.4%,45,16,6,13,11,1.37,0.49,0.4,0.18,14.1%,9359,5286,4073,0,285,14.1%,0.12,50%,,0,0,0,0,-282,-8,291,0,0,3611,3611,6163,0,64684,0,27,522,25547,0,14,27,0,0
Clid,Vi,JUNGLE,15,1,0,5,Perfect KDA,193,151,,5.9,11082,338,18.6%,81,16,26,14,14,2.47,0.49,0.43,0.79,25.4%,5647,4654,550,443,172,8.5%,0.18,75%,,0,0,0,0,348,-2,-236,0,0,2904,2904,1117,690,29528,0,12,271,16135,0,15,31,0,0
Zeka,Azir,MID,17,2,1,4,6,287,8,,8.8,13417,409,22.5%,31,4,9,1,1,0.95,0.12,0.03,0.27,9.7%,21395,409,20986,0,652,32.3%,0.18,75%,1,0,0,0,0,10,-2,-549,-1,0,5218,5218,2204,0,12393,0,13,271,17223,0,3,22,50,100
Viper,Zeri,ADC,16,4,0,2,Perfect KDA,366,29,,11.2,16297,497,27.3%,63,16,19,6,6,1.92,0.49,0.18,0.58,19.7%,26728,16881,8435,1412,815,40.4%,0.18,75%,,1,0,0,0,708,21,300,0,0,13075,13075,647,0,21831,0,16,270,19267,0,7,26,100,0
Life,Lulu,SUPPORT,13,1,0,5,Perfect KDA,20,0,,0.6,8413,256,14.1%,99,49,19,15,14,3.02,1.49,0.46,0.58,31%,3110,472,2638,0,95,4.7%,0.18,75%,,0,0,0,0,186,4,141,0,0,1246,1246,2094,693,5386,6496,18,182,8634,0,17,32,0,0
Morgan,K,TOP,18,2,0,6,Perfect KDA,311,4,,8.1,14862,387,20.4%,72,22,22,16,16,1.88,0.57,0.42,0.57,18.7%,14825,11535,2592,698,386,18.6%,0.21,53.3%,1,0,0,0,0,860,16,820,1,0,6065,6065,4080,0,51679,645,52,3204,27844,0,18,37,100,0
UmTi,Vi,JUNGLE,16,1,2,8,4.5,213,177,,5.5,12935,337,17.8%,94,18,23,18,17,2.45,0.47,0.47,0.6,24.4%,7573,6372,841,360,197,9.5%,0.23,60%,,0,0,0,0,594,11,461,0,0,1660,1660,3489,1683,67989,0,24,285,26653,16,21,39,0,0
Karis,Akali,MID,18,10,0,2,Perfect KDA,351,1,,9.1,18600,484,25.6%,44,10,10,7,7,1.15,0.26,0.18,0.26,11.4%,20330,1208,19122,0,529,25.5%,0.31,80%,1,1,0,1,0,-52,-19,46,0,0,7855,7855,6233,0,19510,0,1,110,26513,0,8,29,150,0
