Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Version,Date,Team,Result
Doran,Aatrox,TOP,15,1,6,4,0.8,206,19,6.5,9712,305,0.185,17,7,3,2,2,0.53,0.22,0.06,0.09,0.067,16640,16594,0,46,523,0.187,0.16,0.556,0,0,0,0,0,-1438,-29,-1288,-1,0,117,117,9270,0,23752,0,23,155,31605,190,3,23,0,0,13.14,8/5/2023,GEN,Lose
Peanut,Skarner,JUNGLE,14,1,2,6,3.5,171,135,5.4,9943,313,0.189,33,11,7,6,6,1.04,0.35,0.19,0.22,0.131,6607,2082,3038,1487,208,0.074,0.22,0.778,0,0,0,0,0,-2,-15,-547,-1,0,0,0,11396,0,48907,0,33,812,22473,70,7,22,0,0,13.14,8/5/2023,GEN,Lose
Chovy,Tristana,MID,16,4,2,5,4.5,307,26,9.7,13963,439,0.266,48,12,19,4,4,1.51,0.38,0.13,0.6,0.19,29162,26742,1881,539,917,0.329,0.28,1.0,0,0,0,0,0,775,-6,177,0,0,7934,7934,8379,0,15900,0,6,53,21544,45,5,30,0,500,13.14,8/5/2023,GEN,Lose
Peyz,Kai'Sa,ADC,14,3,3,4,2.3,266,12,8.4,12298,387,0.234,60,33,15,9,8,1.89,1.04,0.28,0.47,0.238,31103,9215,21825,63,978,0.35,0.22,0.778,0,0,0,0,0,233,-1,-226,0,0,842,842,3381,0,8380,0,0,76,15914,90,13,33,50,100,13.14,8/5/2023,GEN,Lose
Delight,Nautilus,SUPPORT,11,0,6,7,1.2,30,0,0.9,6596,207,0.126,94,60,7,17,15,2.96,1.89,0.53,0.22,0.373,5256,747,3484,1025,165,0.059,0.22,0.778,0,0,0,0,0,-115,-7,45,0,0,0,0,408,0,24105,0,37,196,15615,203,19,32,0,0,13.14,8/5/2023,GEN,Lose
Morgan,Renekton,TOP,17,5,4,8,3.3,257,12,8.1,14175,446,0.227,27,11,3,6,6,0.85,0.35,0.19,0.09,0.099,20639,16811,3828,0,649,0.238,0.41,0.684,1,0,0,0,0,1438,29,1288,1,0,4859,4859,17964,0,42453,0,14,40,43501,152,7,25,0,50,13.14,8/5/2023,BRION,Win
UmTi,Lillia,JUNGLE,16,7,2,7,7,218,176,6.9,13684,430,0.219,56,7,15,6,6,1.76,0.22,0.19,0.47,0.205,17922,320,12643,4959,564,0.206,0.44,0.737,0,0,0,1,0,2,15,547,1,0,1250,1250,26266,0,23437,0,20,441,38847,72,8,26,550,0,13.14,8/5/2023,BRION,Win
Karis,Jayce,MID,17,4,0,8,Perfect KDA,291,4,9.2,13564,427,0.217,44,12,11,8,8,1.38,0.38,0.25,0.35,0.161,23530,21914,1616,0,740,0.271,0.38,0.632,0,0,0,0,0,-775,6,-177,0,0,7125,7125,4583,0,10992,0,5,82,12323,0,10,31,50,0,13.14,8/5/2023,BRION,Win
Hena,Kog'Maw,ADC,14,2,1,10,12,259,8,8.1,12696,399,0.203,43,15,22,5,5,1.35,0.47,0.16,0.69,0.158,20193,9386,10365,442,635,0.232,0.38,0.632,0,0,0,0,0,-233,1,226,0,0,6752,6752,4077,0,9581,0,12,417,14028,40,6,23,0,0,13.14,8/5/2023,BRION,Win
Effort,Braum,SUPPORT,13,1,2,14,7.5,42,0,1.3,8450,266,0.135,103,54,20,23,23,3.24,1.7,0.72,0.63,0.377,4607,163,4444,0,145,0.053,0.47,0.789,0,0,0,0,0,115,7,-45,0,0,654,654,9277,3171,25546,747,29,134,23154,54,26,39,0,0,13.14,8/5/2023,BRION,Win
