Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
T1 Dol,Lulu,MIDDLE,10,1,5,3,0.7272727272727273,99,0,0,6.312433581296493,4733,301.7853347502657,18.26848849776131,13,7,2,3,2,0.8289054197662061,0.4463336875664187,0.1275239107332625,0.1275239107332625,14.772727272727273,7537,1671,5865,0,480.5738575982997,22.740850254955795,0.255047821466525,57.14285714285714,0,0,0,0,4650,99,6220,-1,0,747,747,485,0,7673,1019,18,229,71,75,3,14,False
GangHyeon1,Zeri,BOTTOM,10,1,3,1,0.5714285714285714,137,0,0,8.73538788522848,5638,359.48990435706696,21.761618033039987,15,7,7,2,2,0.9564293304994687,0.4463336875664187,0.1275239107332625,0.4463336875664187,17.045454545454543,7351,4844,2506,0,468.7141339001063,22.17964577738889,0.1275239107332625,28.57142857142857,0,0,0,0,5554,137,6831,0,0,522,522,645,108,5480,0,2,28,104,26,3,14,False
Chrissy3,Rell,UTILITY,6,0,6,1,0.15384615384615385,21,0,0,1.3390010626992561,3113,198.49096705632306,12.015593639030415,22,15,4,7,7,1.4027630180658874,0.9564293304994687,0.4463336875664187,0.255047821466525,25.0,2896,814,1593,488,184.6546227417641,8.737893371149262,0.06376195536663125,14.285714285714285,0,0,0,0,3017,21,2777,-1,0,0,0,0,0,8613,0,24,106,189,86,9,17,False
FA ady,Rumble,TOP,10,1,0,6,14.0,109,0,0,6.950053134962806,5477,349.2242295430393,16.98557915955962,12,7,2,4,3,0.7651434643995749,0.4463336875664187,0.19128586609989373,0.1275239107332625,12.631578947368421,7605,197,7408,0,484.9096705632306,17.466296134677663,0.4463336875664187,38.88888888888889,0,0,0,0,5014,107,6257,-1,0,39,39,484,0,7434,0,9,171,25,0,6,14,True
jjwgs,Graves,JUNGLE,9,4,2,7,4.4,17,54,6,1.083953241232731,6777,432.11477151965994,21.017211970848194,27,12,9,4,4,1.7215727948990436,0.7651434643995749,0.255047821466525,0.5738575982996812,28.421052631578945,5835,5196,378,260,372.0510095642933,13.401162123056428,0.7013815090329437,61.111111111111114,0,0,0,0,6417,14,5548,0,0,16,16,4898,0,6573,0,8,257,372,43,5,18,True
HLE Roamer,Leblanc,MIDDLE,11,9,2,2,4.4,137,0,1,8.73538788522848,8132,518.5122210414453,25.21941386261436,12,5,3,2,2,0.7651434643995749,0.3188097768331562,0.1275239107332625,0.19128586609989373,12.631578947368421,15252,6542,8581,128,972.4973432518597,35.02905307641074,0.7013815090329437,61.111111111111114,0,0,0,0,7495,135,7569,1,0,1724,1724,2502,0,4789,0,17,48,317,40,2,18,True
죽을듯이 파이팅,Kaisa,BOTTOM,10,2,2,3,2.0,144,0,0,9.181721572794899,7504,478.46971307120083,23.271825089161112,9,5,2,1,1,0.5738575982996812,0.3188097768331562,0.06376195536663125,0.1275239107332625,9.473684210526317,10939,8103,2836,0,697.4920297555792,25.12344686617211,0.3188097768331562,27.77777777777778,0,0,0,0,6790,137,6377,0,0,2489,2489,1122,0,3694,0,0,0,84,42,2,14,True
ahgkadlfflak,Rakan,UTILITY,7,2,1,8,6.666666666666667,20,0,0,1.2752391073326248,4355,277.68331562167907,13.505969917816715,35,23,3,4,2,2.2316684378320937,1.4665249734325185,0.1275239107332625,0.19128586609989373,36.84210526315789,3910,941,2507,462,249.30924548352814,8.980041799683057,0.6376195536663124,55.55555555555556,0,0,0,0,4191,20,3588,1,0,0,0,2547,633,4790,503,15,71,253,12,6,15,True
FA ady,Rumble,TOP,13,2,9,4,0.631578947368421,147,0,0,5.8996655518394645,7813,313.5652173913043,18.02681064119425,31,8,8,4,4,1.2441471571906353,0.3210702341137124,0.1605351170568562,0.3210702341137124,20.52980132450331,20239,967,19242,30,812.267558528428,24.66546420649816,0.24080267558528426,35.294117647058826,0,0,0,0,5408,94,6545,-2,0,650,650,1263,0,15816,0,13,179,620,221,7,20,False
죽을듯이 파이팅,JarvanIV,JUNGLE,13,5,6,9,2.1538461538461537,21,97,8,0.842809364548495,9826,394.3545150501672,22.671373526222283,28,8,4,6,6,1.1237458193979932,0.3210702341137124,0.24080267558528426,0.1605351170568562,18.543046357615893,17035,14588,1627,819,683.6789297658862,20.76071855119799,0.5618729096989966,82.35294117647058,0,0,0,0,5962,11,5178,0,0,303,303,12759,0,25784,0,30,364,710,216,7,25,False
