Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
beautiful Ahri,Talon,MIDDLE,18,18,7,7,3.3333333333333335,192,0,0,0.09653092006033183,18568,9.335344394167924,27.94828183090748,32,6,4,3,3,0.01608848667672197,0.0030165912518853697,0.0015082956259426848,0.002011060834590246,18.285714285714285,36983,35727,0,1255,18.59376571141277,28.902000625195374,0.01256913021618904,56.81818181818182,3,1,0,0,6234,25,4565,1,0,2735,2735,5233,0,23524,0,6,218,918,289,6,31,False
너희옷이그게뭐야,Xayah,BOTTOM,15,10,8,8,2.1176470588235294,185,8,0,0.0930115635997989,14053,7.065359477124183,21.152369914354953,19,9,6,3,1,0.009552538964303671,0.004524886877828055,0.0005027652086475615,0.0030165912518853697,10.857142857142858,25541,24987,110,443,12.841126194067371,19.960143794935917,0.00904977375565611,40.909090909090914,0,0,0,0,6234,25,4565,1,0,1322,1322,6025,888,10872,0,28,114,877,186,4,28,False
ssivir,Blitzcrank,UTILITY,14,3,11,12,1.3043478260869565,27,0,0,0.013574660633484163,9004,4.5268979386626444,13.552689013652031,80,47,8,18,16,0.04022121669180493,0.023629964806435394,0.008044243338360985,0.004022121669180492,45.714285714285715,10287,2070,6949,1268,5.171945701357466,8.039231009690528,0.007541478129713424,34.090909090909086,0,0,0,0,6234,25,4565,1,0,0,0,2967,0,31830,0,48,274,679,311,20,37,False
아니왜우유안줌,Yone,TOP,16,10,14,7,1.1724137931034482,186,6,3,0.09351432880844646,14281,7.179989944695827,19.931612002791347,25,10,2,7,5,0.01256913021618904,0.005027652086475616,0.002513826043237808,0.001005530417295123,12.5,36517,25506,8283,2727,18.359477124183005,25.13508118637418,0.008547008547008548,36.95652173913043,0,0,0,0,6234,25,4565,1,0,4798,4798,7266,0,34611,0,42,156,1365,466,8,34,True
응우옌 양,Sejuani,JUNGLE,16,11,8,21,3.764705882352941,26,83,8,0.013071895424836602,15143,7.613373554550025,21.134682484298676,24,5,4,4,2,0.012066365007541479,0.002513826043237808,0.001005530417295123,0.002011060834590246,12.0,28363,11294,14063,3005,14.25992961287079,19.522586950985318,0.01608848667672197,69.56521739130434,3,1,0,0,6234,25,4565,1,0,568,568,11490,947,62031,0,56,1659,2029,222,5,22,True
Serenity Prayer,Zed,MIDDLE,17,9,9,14,2.4210526315789473,212,16,8,0.10658622423328305,15226,7.655103066867773,21.25052337752966,23,5,5,1,1,0.011563599798893917,0.002513826043237808,0.0005027652086475615,0.002513826043237808,11.5,33319,31545,1741,33,16.751633986928105,22.933860121280535,0.011563599798893917,50.0,0,0,0,0,6234,25,4565,1,0,6612,6612,7381,0,16043,0,8,148,1099,328,1,25,True
나 시우 아니다,Lucian,BOTTOM,15,7,8,10,2.0,223,10,0,0.11211664152840624,13524,6.799396681749623,18.875087229588278,21,10,3,2,2,0.010558069381598794,0.005027652086475616,0.001005530417295123,0.0015082956259426848,10.5,21607,18960,1888,758,10.863247863247864,14.87235258082501,0.008547008547008548,36.95652173913043,1,0,0,0,6234,25,4565,1,0,1065,1065,5525,0,14745,0,1,22,547,278,2,23,True
임윤식,Senna,UTILITY,14,9,5,17,4.7272727272727275,57,0,0,0.02865761689291101,13476,6.77526395173454,18.808094905792043,107,36,21,10,8,0.05379587732528909,0.01809954751131222,0.004022121669180492,0.010558069381598794,53.5,25477,24646,830,0,12.808949220713927,17.536119160534955,0.013071895424836602,56.52173913043478,1,0,0,0,6234,25,4565,1,0,4623,4623,16882,7098,8474,1667,30,195,648,202,12,31,True
스테틱펀치,Nasus,TOP,9,0,4,0,0.0,74,0,0,0.08026030368763558,3535,3.834056399132321,16.538011695906434,5,4,0,0,0,0.005422993492407809,0.004338394793926247,0.0,0.0,12.5,4104,678,3425,0,4.45119305856833,21.762647152402163,0.0,0.0,0,0,0,0,5309,11,4472,0,0,0,0,629,0,5199,0,8,59,1417,108,0,4,False
봄 여름 괄 겨율,Khazix,JUNGLE,8,0,4,0,0.0,3,60,2,0.0032537960954446853,4186,4.540130151843818,19.583625730994154,15,6,0,2,2,0.016268980477223426,0.006507592190889371,0.0021691973969631237,0.0,37.5,2369,2087,150,130,2.56941431670282,12.562307773889064,0.0,0.0,0,0,0,0,5309,11,4472,0,0,0,0,6550,0,7288,0,1,158,0,62,3,10,False
내가미안해요플레,Leblanc,MIDDLE,10,1,2,0,0.4,110,2,0,0.1193058568329718,4664,5.058568329718004,21.81988304093567,7,5,0,1,1,0.007592190889370932,0.005422993492407809,0.0010845986984815619,0.0,17.5,4865,1841,3024,0,5.276572668112799,25.798069784706755,0.0010845986984815619,25.0,0,0,0,0,5309,11,4472,0,0,0,0,826,0,4655,0,7,19,159,62,2,15,False
나 시우 아니다,Aphelios,BOTTOM,8,2,5,1,0.5454545454545454,83,0,0,0.09002169197396963,5109,5.5412147505422995,23.901754385964914,3,2,1,1,0,0.0032537960954446853,0.0021691973969631237,0.0,0.0010845986984815619,7.5,4532,4308,223,0,4.915401301518438,24.0322409587443,0.0032537960954446853,75.0,0,0,0,0,5309,11,4472,0,0,0,0,1452,0,2841,0,6,34,25,68,3,12,False
콥 등,Thresh,UTILITY,8,1,5,2,0.5454545454545454,26,0,0,0.028199566160520606,3881,4.209327548806941,18.15672514619883,10,5,2,4,2,0.010845986984815618,0.005422993492407809,0.0021691973969631237,0.0021691973969631237,25.0,2988,598,1994,396,3.240780911062907,15.844734330257715,0.0032537960954446853,75.0,0,0,0,0,5309,11,4472,0,0,0,0,0,0,6000,347,13,95,8,84,6,16,False
15분서렌페티쉬,Darius,TOP,12,4,0,0,8.0,122,0,0,0.13232104121475055,5998,6.505422993492408,18.06245671093444,11,7,1,2,2,0.01193058568329718,0.007592190889370932,0.0021691973969631237,0.0010845986984815619,15.277777777777779,8139,6722,0,1417,8.827548806941431,20.024603272235208,0.004338394793926247,20.0,0,0,0,0,5309,11,4472,0,0,906,906,1030,0,4902,0,13,62,0,0,3,12,True
